epoch,blockNumber,strikeIndex,strike,amount,txType,premium,purchaseFee,netPnl,collateralTokenWithdrawAmount,rewardTokenWithdrawAmounts_DPX,rewardTokenWithdrawAmounts_JONES
8,31793596,2,26000000000,25466963648921686810,1,188698637754205470,0,0,0,0,0
8,31793874,3,29000000000,19472700000000000000,1,14171313755409943,0,0,0,0,0
8,32075341,1,24000000000,140083990000000000,0,0,0,0,139712759508436595,616637066501384,154159266625329694
8,32245232,0,22500000000,47331482817445899895,1,19085312366283246,0,0,0,0,0
8,32248711,0,22500000000,5000000000000000,0,0,0,0,4562498046742532,18791068782556,4697767195638418
8,32273656,0,22500000000,47136482817445899895,1,966086047525,0,0,0,0,0
8,32342951,0,22500000000,1000000000000000,0,0,0,0,982499921869701,3334983010282,833745752570451
8,32409873,0,22500000000,50000000000000,0,0,0,0,49956249804674,153069528174,38267382043684
8,32409945,0,22500000000,47137522817445899895,1,5372406295949,0,0,0,0,0
8,32410009,0,22500000000,47137472817445899895,1,5372406295949,0,0,0,0,0
8,32438487,0,22500000000,47137422817445899895,1,10591472295471043,0,0,0,0,0
8,32486518,0,22500000000,47037408601045015178,1,12954307821774,0,0,0,0,0
8,32486628,0,22500000000,100000000000000,0,0,0,0,99824999218697,279999933039,69999983259977
8,32545091,0,22500000000,1000000000000000,0,0,0,0,982499921869701,2600419451558,650104862889375
8,32551642,0,22500000000,47038408601045015178,1,14980416695641,0,0,0,0,0
8,32552450,0,22500000000,47038308601045015178,1,1498041669564,0,0,0,0,0
8,32552872,0,22500000000,47038298601045015178,1,1497971615788,0,0,0,0,0
8,32555063,0,22500000000,47038288601045015178,1,14979716157889,0,0,0,0,0
8,32568538,0,22500000000,3000000000000000,0,0,0,0,2842499296827311,7537794588087,1884448647021371
8,32568841,0,22500000000,47041188601045015178,1,134130102472792,1249982496691,0,0,0,0
8,32679071,3,29000000000,1000000000000000000,0,0,0,0,1033386322331554802,2132315092091032,533078773022525901
8,32780776,3,29000000000,2406000000000000000,0,0,0,0,2512011537507708040,4404548127711162,1101137031927190967
8,32784117,3,29000000000,3878700000000000000,1,100077880044620294,0,0,0,0,0
8,32838356,1,24000000000,12744789843640565793,1,145623213239827,0,0,0,0,0
8,33115313,0,22500000000,1000000000000000,0,0,0,0,982499921869701,592386821603,148096705400542
9,33314339,0,28000000000,852000000000000000,0,0,0,0,1064302800371488858,16758467796827386,4189616949208368840
9,33336535,2,32000000000,5000000000000000000,0,0,0,0,5074580070724961456,31726166694387547,7931541673598621504
9,33339042,0,28000000000,211800000000000000,0,0,0,0,212284116424183699,1299996795531832,324999198883027703
9,33342941,1,30000000000,3000000000000000000,0,0,0,0,2986220725412912416,17501151292299193,4375287823075675255
9,33343072,2,32000000000,3000000000000000000,0,0,0,0,3036677518611677241,17560116403272209,4390029100818921674
9,33347498,0,28000000000,18000000000000000000,0,0,0,0,16260159924416378449,102193136254368807,25548284063597103362
9,33347565,1,30000000000,20000000000000000000,0,0,0,0,19358721538333513692,113268937322101488,28317234330530809612
9,33349998,3,36000000000,245500000000000000,0,0,0,0,246643759744597737,1387676304887937,346919076222050464
9,33375185,3,36000000000,569999990000000000,0,0,0,0,572693448350058059,3092105807582016,773026451895641989
9,33376377,3,36000000000,50000000000000000000,0,0,0,0,50460861406828431004,271225878753903880,67806469688487959717
9,33390786,3,36000000000,10000000000000000000,0,0,0,0,10066568869670390519,53533817089760920,13383454272442553892
9,33396283,3,36000000000,2400000000000000000,0,0,0,0,2412240478891625302,12785333753694158,3196333438424091068
